event_id,floor,artist_name,set_time_start,set_time_end
1003,Berghain,Roger23,2014-06-21T08:00:00Z,2014-06-21T12:00:00Z
1003,Berghain,Steffi,2014-06-21T12:00:00Z,2014-06-21T16:00:00Z
1003,Berghain,Marcel Dettmann,2014-06-21T16:00:00Z,2014-06-21T20:00:00Z
1003,Berghain,DVS1,2014-06-21T20:00:00Z,2014-06-21T23:59:00Z
1003,Berghain,Boris,2014-06-21T23:59:00Z,2014-06-22T07:59:00Z
1003,Berghain,Fiedel,2014-06-21T23:59:00Z,2014-06-21T04:00:00Z
1004,Panorama Bar,Subb-An,2014-06-27T04:00:00Z,2014-06-27T05:00:00Z
1004,Panorama Bar,Nina Kraviz,2014-06-27T05:00:00Z,2014-06-27T08:00:00Z
1004,Panorama Bar,Lil Tony,2014-06-27T08:00:00Z,2014-06-27T16:00:00Z
1004,Panorama Bar,Eli Verveine,2014-06-27T23:59:00Z,2014-06-27T04:00:00Z
1005,Panorama Bar,Gunnar Stiller,2014-06-28T12:00:00Z,2014-06-28T15:00:00Z
1005,Panorama Bar,Emerson Todd,2014-06-28T15:00:00Z,2014-06-28T19:00:00Z
1005,Panorama Bar,The Cheapers,2014-06-28T19:00:00Z,2014-06-28T23:00:00Z
1005,Panorama Bar,Rotciv,2014-06-28T23:00:00Z,2014-06-29T07:00:00Z
1005,Berghain,Terence Fixmer,2014-06-28T04:00:00Z,2014-06-28T05:30:00Z
1005,Berghain,Cari Lekebusch,2014-06-28T05:30:00Z,2014-06-28T08:30:00Z
1005,Berghain,Mike Parker,2014-06-28T08:30:00Z,2014-06-28T12:00:00Z
1005,Berghain,Roman Lindau,2014-06-28T12:00:00Z,2014-06-28T16:00:00Z
1005,Berghain,DJ Pete,2014-06-28T16:00:00Z,2014-06-28T20:00:00Z
1005,Berghain,Norman Nodge,2014-06-28T20:00:00Z,2014-06-29T04:00:00Z
1005,Berghain,Silva Rymd,2014-06-28T23:59:00Z,2014-06-28T04:00:00Z
1006,Panorama Bar,Discipline,2014-07-11T00:00:00Z,2014-07-11T02:30:00Z
1006,Panorama Bar,Leon Vynehall,2014-07-11T02:30:00Z,2014-07-11T05:00:00Z
1006,Panorama Bar,Ceephax Acid Crew,2014-07-11T05:00:00Z,2014-07-11T06:30:00Z
1006,Panorama Bar,xxxy,2014-07-11T06:30:00Z,2014-07-11T09:30:00Z
1006,Panorama Bar,nd_baumecker,2014-07-11T09:30:00Z,2014-07-11T17:30:00Z
1006,Berghain,Holly Herndon,2014-07-11T02:30:00Z,2014-07-11T03:30:00Z
1006,Berghain,Andy Stott,2014-07-11T03:30:00Z,2014-07-11T04:30:00Z
